POSIZIONE,TITOLO,INCASSO WEEKEND,INCASSO TOTALE,REGIA,GENERE,PAESI,ANNO,RELAZIONE,URL
1,Super Mario Galaxy - Il Film,1.397.302,12.745.770,"Michael Jelenic, Aaron Horvath",Animazione,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/super-mario-galaxy-il-film/
2,The Drama - Un Segreto è per Sempre,771.110,4.484.753,Kristoffer Borgli,Commedia,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/the-drama/
3,Lee Cronin - La mummia,715.874,717.462,Lee Cronin,Horror,"USA, Irlanda",2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/lee-cronin-la-mummia/
4,L'Ultima Missione - Project Hail Mary,285.613,4.728.783,"Phil Lord, Christopher Miller",Fantascienza,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/lultima-missione-project-hail-mary/
5,... che Dio perdona a tutti,222.496,1.515.528,Pif,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/che-dio-perdona-a-tutti/
6,Bts - World Tour Arirang,191.191,473.674,Ha Jung-jae,Concerto,Corea del sud,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/bts-world-tour-arirang/
7,Benvenuti in campagna,135.211,135.211,Giambattista Avellino,Commedia,Italia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/benvenuti-in-campagna/
8,Cena di classe,130.801,1.885.288,Francesco Mandelli,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/cena-di-classe/
9,Alla festa della rivoluzione,125.115,126.315,Arnaldo Catinari,Drammatico,Italia,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/alla-festa-della-rivoluzione/
10,Il delitto del 3° piano,122.380,123.129,Rémi Bezançon,Commedia,Francia,2026,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2026/il-delitto-del-3-piano/
11,Finchè morte non ci separi 2,90.038,477.236,"Tyler Gillett, Matt Bettinelli-Olpin",Horror,USA,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/finche-morte-non-ci-separi-2/
12,Lo straniero,80.501,469.703,François Ozon,Drammatico,Francia,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/lo-straniero/
13,Il caso 137,71.676,78.259,Dominik Moll,Thriller,Francia,2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/il-caso-137/
14,A cena con il dittatore,66.381,175.421,Manuel Gómez Pereira,Commedia,"Spagna, Francia",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/a-cena-con-il-dittatore/
15,La salita,64.830,178.086,Massimiliano Gallo,Drammatico,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/la-salita/
16,La donna più ricca del mondo,56.046,59.731,Thierry Klifa,Drammatico,"Francia, Belgio",2025,In relazione al primo week-end di uscita,https://www.mymovies.it/film/2025/la-donna-piu-ricca-del-mondo/
17,Un anno di scuola,38.693,159.698,Laura Samani,Drammatico,"Italia, Francia",2025,In relazione incasso totale,https://www.mymovies.it/film/2025/un-anno-di-scuola/
18,È l'ultima battuta?,33.746,276.783,Bradley Cooper,Commedia,USA,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/e-lultima-battuta/
19,Hamnet - Nel nome del figlio,24.594,4.193.827,Chloé Zhao,Drammatico,USA,2025,In relazione incasso totale,https://www.mymovies.it/film/2025/hamnet/
20,Mi batte il corazon,24.422,932.386,Francesco Prisco,Commedia,Italia,2026,In relazione incasso totale,https://www.mymovies.it/film/2026/mi-batte-il-corazon/
